Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,year,month,day,SMA_50,SMA_200,RSI
2020-02-28,AXISBANK,EQ,735.85,718.9,724.7,691.0,701.0,697.3,705.99,16428944,1159872537135000.0,184431.0,9049624.0,0.5508,2020,2,28,735.525,730.1410000000001,35.59156600523836
2020-03-02,AXISBANK,EQ,697.3,709.3,713.25,675.3,687.0,684.2,695.97,13854352,964218950835000.0,177926.0,6104436.0,0.4406,2020,3,2,734.4119999999999,729.9014999999999,32.12894288701425
2020-03-03,AXISBANK,EQ,684.2,689.9,695.8,675.0,689.8,687.15,685.67,11198145,767819033420000.0,161760.0,4363744.0,0.3897,2020,3,3,733.2919999999999,729.6804999999999,33.693352940719265
2020-03-04,AXISBANK,EQ,687.15,690.0,696.0,668.3,681.0,682.2,682.4,14802724,1010138570945000.0,229199.0,7623532.0,0.515,2020,3,4,732.1229999999999,729.48175,32.3460802378284
2020-03-05,AXISBANK,EQ,682.2,686.5,694.0,675.25,677.75,677.9,685.27,10508008,720085769790000.0,145360.0,4127237.0,0.3928,2020,3,5,730.9509999999999,729.212,31.17972330219331
2020-03-06,AXISBANK,EQ,677.9,650.0,660.8,641.05,658.2,657.65,653.41,12969235,847422011340000.0,220341.0,6403595.0,0.4938,2020,3,6,728.9010000000001,728.7554999999999,26.35930217941754
2020-03-09,AXISBANK,EQ,657.65,639.0,641.85,615.1,623.6,623.55,629.4,14336439,902336739245000.0,182268.0,6673995.0,0.4654999999999999,2020,3,9,726.29,727.96125,20.587303471436513
2020-03-11,AXISBANK,EQ,623.55,613.65,634.4,612.1,620.0,619.35,623.09,11021533,686736659795000.0,171462.0,4256182.0,0.3862,2020,3,11,723.595,727.1932500000001,20.006222042602005
2020-03-12,AXISBANK,EQ,619.35,592.0,594.0,528.15,545.1,543.25,556.85,29369628,1635435264960000.0,265199.0,14481753.0,0.4931,2020,3,12,719.4860000000001,726.01375,12.900965185989321
2020-03-13,AXISBANK,EQ,543.25,516.95,585.65,451.1,578.5,568.8,541.99,25599380,1387462120990000.0,305539.0,11230476.0,0.4387,2020,3,13,715.7229999999998,724.97575,22.81273649540607
2020-03-16,AXISBANK,EQ,568.8,542.35,545.0,502.35,510.9,508.6,521.82,21543626,1124188282780000.0,329445.0,10844487.0,0.5034000000000001,2020,3,16,711.0360000000001,723.5527500000001,17.70138772593768
2020-03-17,AXISBANK,EQ,508.6,515.15,531.3,477.45,485.65,488.35,511.9,20594426,1054221983605000.0,251239.0,9152157.0,0.4443999999999999,2020,3,17,706.3380000000001,721.925,16.37250548965241
2020-03-18,AXISBANK,EQ,488.35,490.0,506.05,392.1,484.15,473.45,456.43,36268578,1655397605575000.0,495613.0,15736353.0,0.4339,2020,3,18,701.2919999999999,720.2502499999999,15.453232610870913
2020-03-19,AXISBANK,EQ,473.45,441.05,464.95,423.75,428.0,428.25,440.66,33244422,1464949244915000.0,397399.0,14231631.0,0.4281,2020,3,19,695.367,718.368,13.05802273899316
2020-03-20,AXISBANK,EQ,428.25,431.4,449.7,414.2,425.0,428.15,429.91,30764380,1322599344175000.0,389335.0,11910635.0,0.3872,2020,3,20,689.073,716.4709999999999,13.053202289375449
2020-03-23,AXISBANK,EQ,428.15,385.35,392.0,302.0,310.0,308.65,333.19,37622791,1253563689110000.0,563041.0,20757987.0,0.5517000000000001,2020,3,23,680.445,713.9727500000001,8.84917517431407
2020-03-24,AXISBANK,EQ,308.65,331.95,337.5,291.0,304.8,303.15,311.41,50683611,1578313503950000.0,767331.0,20837547.0,0.4111,2020,3,24,671.76,711.4252500000001,8.710131063986267
2020-03-25,AXISBANK,EQ,303.15,293.5,363.75,286.0,331.5,326.8,319.6,51994332,1661729269495000.0,741163.0,18038152.0,0.3469,2020,3,25,663.3380000000001,708.94525,14.902007210576599
2020-03-26,AXISBANK,EQ,326.8,335.95,399.0,332.0,346.0,341.4,362.99,62971676,2285786704990000.0,746077.0,20086272.0,0.319,2020,3,26,655.24,706.61375,18.573735882489814
