,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,year,month,day,SMA_50,SMA_200,RSI
3923,2017-01-13,KOTAKBANK,EQ,727.95,731.5,735.6,724.4,725.75,727.75,729.7,1006051,73411452175000.0,19967.0,614569.0,0.6109,2017,1,13,742.3709999999999,750.33725,52.739557934059896
3924,2017-01-16,KOTAKBANK,EQ,727.75,726.1,736.2,723.0,731.5,731.2,729.88,741938,54152719529999.99,16553.0,380896.0,0.5134000000000001,2017,1,16,741.0020000000001,750.6452499999999,54.78091468160417
3925,2017-01-17,KOTAKBANK,EQ,731.2,732.8,735.0,724.3,724.7,726.0,728.25,681333,49618331890000.0,22827.0,376385.0,0.5524,2017,1,17,739.485,750.91775,51.19177585853918
3926,2017-01-18,KOTAKBANK,EQ,726.0,725.1,741.75,725.1,731.8,731.1,734.34,1125851,82675582380000.0,30831.0,545533.0,0.4846,2017,1,18,737.8710000000001,751.154,54.35075046753627
3927,2017-01-19,KOTAKBANK,EQ,731.1,731.0,737.0,727.0,729.95,728.2,731.27,915362,66937605765000.0,28166.0,586703.0,0.6409999999999999,2017,1,19,735.993,751.39175,52.27874550357583
3928,2017-01-20,KOTAKBANK,EQ,728.2,732.75,733.15,718.0,725.0,723.05,725.23,1115048,80866481625000.0,37264.0,537085.0,0.4817,2017,1,20,734.0690000000001,751.6075,48.72618433249234
3929,2017-01-23,KOTAKBANK,EQ,723.05,722.5,739.9,722.0,735.8,732.75,731.25,1457199,106557565615000.0,40955.0,915441.0,0.6282,2017,1,23,732.4119999999999,751.8347499999999,54.93746576782602
3930,2017-01-24,KOTAKBANK,EQ,732.75,737.5,745.0,734.1,744.9,743.35,740.64,1206679,89371174200000.0,17448.0,744862.0,0.6173,2017,1,24,731.488,752.2077499999999,60.56010404632216
3931,2017-01-25,KOTAKBANK,EQ,743.35,747.5,800.9,745.05,793.9,795.2,783.59,8772524,687409784645000.0,129240.0,3407861.0,0.3885,2017,1,25,731.9809999999999,752.84375,76.20206909254426
3932,2017-01-27,KOTAKBANK,EQ,795.2,798.0,802.1,780.45,783.05,785.05,789.49,3709367,292850729825000.0,89142.0,2367815.0,0.6383,2017,1,27,732.1569999999999,753.4564999999999,70.32242105376126
3933,2017-01-30,KOTAKBANK,EQ,785.05,786.0,790.0,771.1,777.0,775.6,780.29,2183478,170373840330000.0,24641.0,1594274.0,0.7302,2017,1,30,732.084,754.0077500000001,65.2727085834459
3934,2017-01-31,KOTAKBANK,EQ,775.6,777.0,780.3,763.05,775.5,774.15,771.53,1400680,108067293205000.0,27789.0,705400.0,0.5036,2017,1,31,732.313,754.5219999999999,64.50728388953253
3935,2017-02-01,KOTAKBANK,EQ,774.15,777.5,782.95,739.15,776.65,777.05,764.25,4951867,378448875620000.0,94607.0,2401355.0,0.4849,2017,2,1,732.4620000000001,755.0204999999999,65.38164717516908
3936,2017-02-02,KOTAKBANK,EQ,777.05,779.0,780.45,764.45,765.9,770.4,773.27,2022953,156428585515000.0,54709.0,1280943.0,0.6332,2017,2,2,732.547,755.4107500000001,61.632188281945986
3937,2017-02-03,KOTAKBANK,EQ,770.4,769.5,777.2,760.0,764.55,765.3,769.33,1562576,120213381765000.02,31316.0,1006538.0,0.6442,2017,2,3,733.0110000000001,755.8205,58.84506609753368
3938,2017-02-06,KOTAKBANK,EQ,765.3,770.0,773.75,765.3,767.0,766.7,768.87,1967556,151280315765000.0,53110.0,1324517.0,0.6731999999999999,2017,2,6,733.302,756.2182500000001,59.38799800092799
3939,2017-02-07,KOTAKBANK,EQ,766.7,769.0,784.95,768.5,773.8,773.35,776.94,2996111,232779234025000.0,41285.0,1969543.0,0.6574,2017,2,7,733.7660000000001,756.6514999999999,61.95540495021487
3940,2017-02-08,KOTAKBANK,EQ,773.35,774.4,776.2,762.0,768.1,767.6,769.67,2607668,200705049455000.0,39564.0,1789315.0,0.6862,2017,2,8,734.21,757.1089999999999,58.511041104327795
3941,2017-02-09,KOTAKBANK,EQ,767.6,769.9,779.5,765.0,769.9,769.65,771.39,1306279,100764766185000.0,27883.0,778187.0,0.5957,2017,2,9,734.4940000000001,757.555,59.378123762687714
3942,2017-02-10,KOTAKBANK,EQ,769.65,771.1,786.3,771.1,779.25,778.9,778.97,1871296,145768702270000.0,47519.0,1134104.0,0.6061,2017,2,10,735.1729999999999,757.9452500000001,63.12314585569773
3943,2017-02-13,KOTAKBANK,EQ,778.9,779.8,796.0,779.5,792.0,793.15,791.39,1804668,142819356235000.0,37181.0,829893.0,0.4599,2017,2,13,736.565,758.3485000000001,68.01524498875857
3944,2017-02-14,KOTAKBANK,EQ,793.15,793.9,796.35,785.95,789.5,790.3,790.85,1338969,105892187255000.0,28368.0,979118.0,0.7312000000000001,2017,2,14,737.775,758.79275,66.12583066667617
3945,2017-02-15,KOTAKBANK,EQ,790.3,791.2,795.0,781.75,783.55,784.3,789.64,1360744,107449516334999.98,27997.0,938258.0,0.6895,2017,2,15,738.781,759.1285,62.207893171489765
3946,2017-02-16,KOTAKBANK,EQ,784.3,785.0,798.5,780.25,793.5,792.5,792.59,2256205,178824330740000.0,35720.0,1227400.0,0.544,2017,2,16,739.944,759.5,65.23915835397301
3947,2017-02-17,KOTAKBANK,EQ,792.5,805.0,811.0,790.1,796.0,796.5,798.84,4259173,340241235735000.0,61234.0,2636934.0,0.6191,2017,2,17,740.901,759.9452500000001,66.64462168954196
3948,2017-02-20,KOTAKBANK,EQ,796.5,801.9,805.0,795.0,795.0,797.05,798.94,847401,67702515175000.0,34734.0,410464.0,0.4844,2017,2,20,741.937,760.36725,66.84313520361098
3949,2017-02-21,KOTAKBANK,EQ,797.05,799.15,800.6,791.1,798.95,797.9,795.5,632134,50285950780000.0,16496.0,298997.0,0.473,2017,2,21,743.298,760.8109999999999,67.16834076036587
3950,2017-02-22,KOTAKBANK,EQ,797.9,799.8,804.45,793.75,795.6,795.85,798.94,1106511,88403848880000.0,32293.0,724246.0,0.6545000000000001,2017,2,22,744.596,761.2755000000001,65.49977275665836
3951,2017-02-23,KOTAKBANK,EQ,795.85,798.5,814.4,792.5,809.55,810.95,807.21,4575547,369342178100000.0,62005.0,3252686.0,0.7109000000000001,2017,2,23,746.2589999999999,761.7610000000001,71.17907493752882
3952,2017-02-27,KOTAKBANK,EQ,810.95,807.5,812.5,795.55,798.45,800.5,802.17,2381678,191051729310000.0,44534.0,1928829.0,0.8099,2017,2,27,747.7739999999999,762.14925,63.40066446703866
3953,2017-02-28,KOTAKBANK,EQ,800.5,801.9,808.45,798.8,803.0,802.1,802.56,972189,78023686325000.0,20354.0,663729.0,0.6827,2017,2,28,749.4340000000001,762.502,64.04846944014795
3954,2017-03-01,KOTAKBANK,EQ,802.1,802.1,827.2,802.05,823.95,824.15,817.77,2968583,242762921200000.0,40174.0,1971515.0,0.6641,2017,3,1,751.5239999999999,762.989,71.52783640509483
3955,2017-03-02,KOTAKBANK,EQ,824.15,827.5,828.7,812.75,816.05,816.15,821.74,4455373,366115316620000.0,43275.0,3755391.0,0.8429000000000001,2017,3,2,753.48,763.5285,66.15073521402711
3956,2017-03-03,KOTAKBANK,EQ,816.15,816.0,817.0,803.0,813.2,809.5,808.98,1317035,106545546520000.0,62620.0,786863.0,0.5975,2017,3,3,755.2739999999999,763.9847500000001,61.97974430886488
3957,2017-03-06,KOTAKBANK,EQ,809.5,812.9,822.2,811.1,818.5,818.95,818.28,1439574,117797047259999.98,19760.0,1129485.0,0.7846,2017,3,6,757.39,764.535,65.32560817327885
3958,2017-03-07,KOTAKBANK,EQ,818.95,820.0,821.0,814.0,817.1,817.0,818.56,949754,77742803820000.0,25279.0,615340.0,0.6479,2017,3,7,759.495,765.0754999999999,64.07260236790967
3959,2017-03-08,KOTAKBANK,EQ,817.0,823.05,838.95,819.2,824.0,824.9,827.86,3815129,315837553305000.0,62716.0,1474466.0,0.3865,2017,3,8,761.7719999999999,765.66975,66.84700538390436
